,html_url,name,full_name,description,topics,created_at,updated_at,pushed_at,size,language,stargazers_count,subscribers_count,has_issues,has_downloads,has_discussions,forks_count,default_branch,private,open_issues_only,closed_issues_only,open_pull_requests,closed_pull_requests,commits_number,contributors_number,license.key,owner.type
0,https://github.com/klknn/kdr,kdr,klknn/kdr,klknn dplug repository,"['audio-processing', 'audio-units', 'dlang', 'dplug', 'dsp', 'vst', 'vst3']",2022-09-24T06:38:43Z,2023-04-04T18:36:29Z,2023-06-25T15:29:30Z,3337,D,13,1.0,True,True,False,1,master,False,8.0,2.0,2.0,19.0,200,0,bsl-1.0,User
1,https://github.com/directmusic/DoomVST,DoomVST,directmusic/DoomVST,A port of Doom (doomgeneric) to run in a VST3/AU on Win/macOS,"['audio-unit', 'doom', 'doomgeneric', 'juce', 'juce-framework', 'vst3']",2023-04-14T06:46:20Z,2023-09-12T01:29:25Z,2023-04-19T20:34:02Z,388,C++,12,0.0,True,True,False,1,main,False,0.0,0.0,0.0,0.0,0,0,gpl-3.0,User
2,https://github.com/J0rgeSerran0/Decent-Sampler-Samples,Decent-Sampler-Samples,J0rgeSerran0/Decent-Sampler-Samples,Decent Sampler Sounds,"['aax', 'ableton', 'au', 'auv3', 'decent-sampler', 'dslibrary', 'dspreset', 'kontakt', 'korg', 'music', 'patch', 'patches', 'plugin', 'roland', 'samples', 'sf2', 'sfz', 'standalone', 'vst', 'vst3']",2021-07-07T08:06:39Z,2023-06-23T18:29:35Z,2021-07-11T13:07:11Z,519524,0,12,0.0,True,True,False,4,main,False,0.0,0.0,0.0,0.0,0,0,0,User
3,https://github.com/Celemony/ARA_Library,ARA_Library,Celemony/ARA_Library,C++ Library for implementing the ARA Audio Random Access API,"['ara', 'audio', 'audiounit', 'cpp', 'daw', 'hosts', 'plugins', 'sdk', 'vst3']",2021-03-05T17:33:16Z,2023-04-12T09:18:24Z,2023-08-29T14:48:45Z,2551,HTML,12,0.0,False,True,False,4,main,False,0.0,0.0,0.0,0.0,0,0,apache-2.0,Organization
4,https://github.com/spnw/free-music-plugins,free-music-plugins,spnw/free-music-plugins,A list of free audio and MIDI plugins for music production,"['audio', 'audio-unit', 'awesome', 'awesome-list', 'music', 'vst', 'vst3']",2020-11-30T22:57:07Z,2023-07-27T12:10:21Z,2022-06-29T23:44:09Z,10,0,11,0.0,True,True,False,0,master,False,0.0,0.0,0.0,0.0,0,0,cc0-1.0,User
5,https://github.com/hansen-audio/renegate-fx,renegate-fx,hansen-audio/renegate-fx,VST 3 Trancegate Effect,"['audio', 'audio-processing', 'cmake', 'cpp', 'effect', 'fx', 'plugin', 'rust', 'vst', 'vst3']",2021-05-16T09:57:18Z,2023-08-26T22:27:02Z,2023-08-06T20:35:13Z,151,C++,11,0.0,True,True,False,0,master,False,0.0,0.0,0.0,0.0,0,0,mit,Organization
6,https://github.com/xoofx/NPlug.Samples,NPlug.Samples,xoofx/NPlug.Samples,Samples for creating VST3 audio native plugins with NPlug and .NET7+/NativeAOT.,"['dotnet', 'vst', 'vst3', 'vst3-plugins']",2023-03-06T07:01:09Z,2023-07-14T16:00:07Z,2023-03-06T18:27:10Z,13,C#,11,0.0,True,True,False,1,main,False,0.0,0.0,0.0,0.0,0,0,other,User
7,https://github.com/Wasted-Audio/wstd-eq,wstd-eq,Wasted-Audio/wstd-eq,Simple nasty EQ plugin.,"['clap', 'dpf', 'imgui', 'jack', 'lv2', 'plugin', 'vst', 'vst3']",2023-01-31T21:19:12Z,2023-09-02T03:23:21Z,2023-09-06T11:39:18Z,164,C++,10,0.0,True,True,False,2,master,False,0.0,0.0,0.0,0.0,0,0,gpl-3.0,Organization
8,https://github.com/Celemony/ARA_Examples,ARA_Examples,Celemony/ARA_Examples,Examples demonstrating proper usage of the ARA Audio Random Access API,"['ara', 'audio', 'audiounit', 'c', 'cpp', 'daw', 'hosts', 'plugins', 'sdk', 'vst3']",2021-03-05T17:44:48Z,2023-04-08T12:59:07Z,2023-08-29T09:49:11Z,603,C++,10,0.0,False,True,False,0,main,False,0.0,0.0,0.0,0.0,0,0,apache-2.0,Organization
9,https://github.com/devashish-gupta/Tranquil,Tranquil,devashish-gupta/Tranquil,"Tranquil is a breathtaking Algorithmic Reverb Plugin for all the major digital audio workstations (DAWs), meticulously crafted with an architecture that is adept in building prolific soundscapes and simulating small rooms with the same fidelity. Available as a 64-bit VST3 binary for Windows.","['algorithmic-reverb', 'audio-effect', 'audio-processing', 'cpp', 'minimalist-design', 'realtime', 'reverb', 'reverberation', 'vst-plugin', 'vst3']",2021-07-19T13:05:11Z,2023-08-10T02:51:32Z,2022-10-19T22:26:35Z,20988,0,10,0.0,True,True,True,1,main,False,0.0,0.0,0.0,0.0,0,0,0,User
